,iso_code,location,date,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,people_vaccinated_per_hundred,population,population_density,gdp_per_capita,life_expectancy,human_development_index
77242,ITA,Italy,2020-01-31,,0.033,,,60367471.0,205.859,35220.084,83.51,0.892
77243,ITA,Italy,2020-02-01,,0.033,,,60367471.0,205.859,35220.084,83.51,0.892
77244,ITA,Italy,2020-02-02,,0.033,,,60367471.0,205.859,35220.084,83.51,0.892
77245,ITA,Italy,2020-02-03,,0.033,,,60367471.0,205.859,35220.084,83.51,0.892
77246,ITA,Italy,2020-02-04,,0.033,,,60367471.0,205.859,35220.084,83.51,0.892
77247,ITA,Italy,2020-02-05,,0.033,,,60367471.0,205.859,35220.084,83.51,0.892
77248,ITA,Italy,2020-02-06,,0.033,0.005,,60367471.0,205.859,35220.084,83.51,0.892
77249,ITA,Italy,2020-02-07,,0.05,0.002,,60367471.0,205.859,35220.084,83.51,0.892
77250,ITA,Italy,2020-02-08,,0.05,0.002,,60367471.0,205.859,35220.084,83.51,0.892
77251,ITA,Italy,2020-02-09,,0.05,0.002,,60367471.0,205.859,35220.084,83.51,0.892
77252,ITA,Italy,2020-02-10,,0.05,0.002,,60367471.0,205.859,35220.084,83.51,0.892
77253,ITA,Italy,2020-02-11,,0.05,0.002,,60367471.0,205.859,35220.084,83.51,0.892
77254,ITA,Italy,2020-02-12,,0.05,0.002,,60367471.0,205.859,35220.084,83.51,0.892
77255,ITA,Italy,2020-02-13,,0.05,0.002,,60367471.0,205.859,35220.084,83.51,0.892
77256,ITA,Italy,2020-02-14,,0.05,0.0,,60367471.0,205.859,35220.084,83.51,0.892
77257,ITA,Italy,2020-02-15,,0.05,0.0,,60367471.0,205.859,35220.084,83.51,0.892
77258,ITA,Italy,2020-02-16,,0.05,0.0,,60367471.0,205.859,35220.084,83.51,0.892
77259,ITA,Italy,2020-02-17,,0.05,0.0,,60367471.0,205.859,35220.084,83.51,0.892
77260,ITA,Italy,2020-02-18,,0.05,0.0,,60367471.0,205.859,35220.084,83.51,0.892
77261,ITA,Italy,2020-02-19,,0.05,0.0,,60367471.0,205.859,35220.084,83.51,0.892
77262,ITA,Italy,2020-02-20,,0.05,0.0,,60367471.0,205.859,35220.084,83.51,0.892
77263,ITA,Italy,2020-02-21,,0.331,0.04,,60367471.0,205.859,35220.084,83.51,0.892
77264,ITA,Italy,2020-02-22,,1.0270000000000001,0.14,,60367471.0,205.859,35220.084,83.51,0.892
77265,ITA,Italy,2020-02-23,,2.568,0.36,,60367471.0,205.859,35220.084,83.51,0.892
77266,ITA,Italy,2020-02-24,,3.793,0.535,,60367471.0,205.859,35220.084,83.51,0.892
77267,ITA,Italy,2020-02-25,,5.334,0.755,,60367471.0,205.859,35220.084,83.51,0.892
77268,ITA,Italy,2020-02-26,,7.504,1.065,,60367471.0,205.859,35220.084,83.51,0.892
77269,ITA,Italy,2020-02-27,2.4290000000000003,10.85,1.5430000000000001,,60367471.0,205.859,35220.084,83.51,0.892
77270,ITA,Italy,2020-02-28,2.8569999999999998,14.71,2.0540000000000003,,60367471.0,205.859,35220.084,83.51,0.892
77271,ITA,Italy,2020-02-29,3.8569999999999998,18.686,2.523,,60367471.0,205.859,35220.084,83.51,0.892
77272,ITA,Italy,2020-03-01,4.428999999999999,28.061,3.642,,60367471.0,205.859,35220.084,83.51,0.892
77273,ITA,Italy,2020-03-02,6.428999999999999,33.727,4.276,,60367471.0,205.859,35220.084,83.51,0.892
77274,ITA,Italy,2020-03-03,9.857000000000001,41.446000000000005,5.159,,60367471.0,205.859,35220.084,83.51,0.892
77275,ITA,Italy,2020-03-04,13.571,51.17,6.2379999999999995,,60367471.0,205.859,35220.084,83.51,0.892
77276,ITA,Italy,2020-03-05,18.714000000000002,63.909,7.58,,60367471.0,205.859,35220.084,83.51,0.892
77277,ITA,Italy,2020-03-06,25.143,76.796,8.869,,60367471.0,205.859,35220.084,83.51,0.892
77278,ITA,Italy,2020-03-07,29.143,97.45299999999999,11.253,,60367471.0,205.859,35220.084,83.51,0.892
77279,ITA,Italy,2020-03-08,47.428999999999995,122.16799999999999,13.444,,60367471.0,205.859,35220.084,83.51,0.892
77280,ITA,Italy,2020-03-09,58.714,151.936,16.887,,60367471.0,205.859,35220.084,83.51,0.892
77281,ITA,Italy,2020-03-10,78.857,168.12,18.096,,60367471.0,205.859,35220.084,83.51,0.892
77282,ITA,Italy,2020-03-11,102.85700000000001,206.43599999999998,22.180999999999997,,60367471.0,205.859,35220.084,83.51,0.892
77283,ITA,Italy,2020-03-12,124.0,250.35,26.634,,60367471.0,205.859,35220.084,83.51,0.892
